event_ts,dir,coin,tfs,align,h1,d1m,d5m,d15m,d1h,mtf,pnl,close_ts,price
2026-07-16T11:35:27.72+00:00,LONG,ZEC,2,75,SIDEWAYS,HOLD,LONG,HOLD,LONG,1m HOLD 0% RSI50 SIDEWAYS · 5m LONG 100% RSI57 SIDEWAYS · 15m HOLD 50% RSI22 DOWN · 1h LONG 100% RSI21 SIDEWAYS,1.8081,2026-07-16T12:37:22.06+00:00,547.565
2026-07-16T11:36:32.349+00:00,LONG,HYPE,3,50,SIDEWAYS,LONG,LONG,SHORT,LONG,1m LONG 100% RSI46 SIDEWAYS · 5m LONG 100% RSI43 DOWN · 15m SHORT 67% RSI50 DOWN · 1h LONG 100% RSI28 SIDEWAYS,1.07844,2026-07-16T14:32:05.497+00:00,65.7725
2026-07-16T12:58:22.903+00:00,SHORT,BTC,3,75,DOWN,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI64 SIDEWAYS · 5m SHORT 67% RSI42 DOWN · 15m SHORT 67% RSI46 DOWN · 1h HOLD 50% RSI30 DOWN,2.12076,2026-07-17T02:08:08.434+00:00,63954.5
2026-07-16T13:50:21.326+00:00,SHORT,CASHCAT,2,100,SIDEWAYS,SHORT,HOLD,SHORT,HOLD,1m SHORT 100% RSI42 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI62 SIDEWAYS · 1h HOLD 0% RSI50 SIDEWAYS,2.865863,2026-07-16T14:15:39.06+00:00,0.098886
2026-07-16T14:15:43.187+00:00,SHORT,ETH,2,100,SIDEWAYS,HOLD,SHORT,SHORT,LONG,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI73 SIDEWAYS · 15m SHORT 100% RSI50 SIDEWAYS · 1h LONG 100% RSI37 SIDEWAYS,0.761358,2026-07-16T14:31:51.011+00:00,1888.65
2026-07-16T15:27:44.161+00:00,LONG,ETH,2,100,SIDEWAYS,SHORT,HOLD,LONG,LONG,1m SHORT 100% RSI90 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI49 SIDEWAYS · 1h LONG 100% RSI28 SIDEWAYS,,,1891.35
2026-07-16T16:36:10.883+00:00,LONG,BTC,2,100,SIDEWAYS,LONG,HOLD,HOLD,LONG,1m LONG 67% RSI61 SIDEWAYS · 5m HOLD 50% RSI27 SIDEWAYS · 15m HOLD 50% RSI62 SIDEWAYS · 1h LONG 100% RSI48 SIDEWAYS,,,64510.5
2026-07-16T17:45:22.867+00:00,LONG,XRP,3,100,SIDEWAYS,LONG,HOLD,LONG,LONG,1m LONG 100% RSI55 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI40 SIDEWAYS · 1h LONG 100% RSI41 SIDEWAYS,,,1.10365
2026-07-17T00:45:51.991+00:00,SHORT,BTC,3,50,DOWN,SHORT,SHORT,HOLD,SHORT,1m SHORT 100% RSI61 SIDEWAYS · 5m SHORT 100% RSI57 SIDEWAYS · 15m HOLD 50% RSI21 DOWN · 1h SHORT 67% RSI41 DOWN,1.67696,2026-07-17T05:38:56.819+00:00,63849.5
2026-07-17T00:58:53.49+00:00,SHORT,ETH,3,50,DOWN,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI85 SIDEWAYS · 5m SHORT 100% RSI54 SIDEWAYS · 15m SHORT 80% RSI34 DOWN · 1h HOLD 50% RSI33 DOWN,0.57354,2026-07-17T01:25:01.709+00:00,1865.25
